time,density,kinetic_energy,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
9.99,900.4997552311163,210.5944369852863,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015014777,0.055812685864788485
10.0,900.5049958299626,209.48208246933714,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01391883,0.057245970898487944
10.01,900.5179415889836,208.67450195285525,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014940057,0.059597174767290303
10.02,900.5385038579751,208.0922962535947,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015647631,0.06254710792573244
10.03,900.5653096602302,207.71050576348551,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014326683,0.0659889897783861
10.040000000000001,900.5962896289916,207.70432816247745,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013708569,0.06964206555155363
10.05,900.6292560087696,208.14803306306138,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01559356,0.07335177423874133
10.06,900.6626767671298,209.0983742376705,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013419008,0.07694035279454117
10.07,900.6951871299968,210.59854063004965,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014374664,0.08031294037441251
10.08,900.7258943368341,212.58847962952368,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015316578,0.0834126580363473
10.09,900.7543033955263,214.88328450627614,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014934617,0.0863087361536958
10.1,900.7803853156921,217.12031244532255,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013407668,0.08869771102261921
10.11,900.8025767998708,219.1058533436347,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014930256,0.09062510653852154
10.120000000000001,900.819926667319,220.66036199346732,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013596439,0.09186060861470738
10.13,900.8312667340509,221.8380826482127,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013333978,0.09242920074676961
10.14,900.8353621339058,222.6896299843973,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014692016,0.09179727920889155
10.15,900.8299670645507,223.51939850431322,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014977847,0.09009765970209936
10.16,900.8143648556222,224.33410788410524,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013429388,0.08729112613123065
10.17,900.7889762813833,224.96168201459142,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014305303,0.08360665289497361
10.18,900.7557929375321,225.36154309331775,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01388864,0.07950289699468428
10.19,900.719091938953,225.34020689780027,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01381281,0.07565355370359526
10.200000000000001,900.6840830334665,224.72109831587048,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015038147,0.07219242902063715
10.21,900.653958005092,224.1209466973968,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01380769,0.06955950174113035
10.22,900.6302711851988,223.48487505844497,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01393555,0.06765260004671357
10.23,900.6128930365244,222.78325550092626,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014888256,0.06638998177608588
10.24,900.6005427124547,221.97276289277207,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013685709,0.06549663290206455
10.25,900.59201326749,221.01504416702318,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01377569,0.06486382049775473
10.26,900.5860326511279,220.01775854792083,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014581524,0.06443576857188005
