time,density,kinetic_energy,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,solver_iterations
8.370000000000001,900.091759773541,217.2605724410868,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.375,900.0911278986707,217.68634760843895,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.38,900.0905730501935,218.06429922318785,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.385,900.090112517065,218.34977217835998,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.39,900.089778075829,218.54454940404491,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.395,900.0895762249097,218.63255734053274,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.4,900.0894737319844,218.61629863537306,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.405,900.089461290974,218.40967415839188,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.41,900.0894545977379,218.0511158827306,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.415000000000001,900.0893352130608,217.67926478354866,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.42,900.0890946177557,217.22128169866343,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.425,900.0887088377434,216.671657215888,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.43,900.0881889199234,216.04359800273082,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.435,900.0875744538256,215.3510471302592,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.44,900.0869096737398,214.6013167972228,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.445,900.0862418601124,213.80937986227886,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.45,900.0856175004889,213.0105568205929,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.455,900.0850819332302,212.1608633752729,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.46,900.0847344952634,211.1955838620647,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.465,900.0847377006359,210.1226636422249,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.47,900.084552831938,209.39895629552146,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.475,900.0842495696108,208.74003648171984,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.48,900.0838906943646,208.14075834939163,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.485,900.083482198313,207.60983992428362,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.49,900.083114275603,207.14648941187747,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.495000000000001,900.0828268077018,206.74205490307506,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.5,900.0826169078093,206.41719359087156,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.505,900.0824173780392,206.16392835957333,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.51,900.0824242496868,205.9684107496565,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.515,900.0823074128756,205.8610825083438,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.52,900.0819832197285,205.8211306906289,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.525,900.0814711414675,205.82352901959143,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.53,900.0809517172869,205.79212430497077,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.535,900.0804054731823,205.80531186071713,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.540000000000001,900.0799806803963,205.7694502486871,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.545,900.0798539170376,205.6945329351224,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.55,900.079753497849,205.7268946487787,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.555,900.0798298736325,205.7633668460352,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.56,900.0801620340752,205.79298433203815,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.565,900.0806666391285,205.82427992330867,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.57,900.0813537020287,205.86195592999601,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.575000000000001,900.0822239145739,205.90179093478966,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.58,900.0831985383057,205.90408338954487,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.585,900.0843198758452,205.90087398692827,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.59,900.0855226660456,205.90971318408103,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.595,900.0866298771311,205.99385305465387,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.6,900.0877586283721,205.9658037724768,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.605,900.088649357447,206.04351061473065,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.61,900.0892937158121,206.11578731140276,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.615,900.089834384238,206.20011418912895,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
8.620000000000001,900.090329423903,206.3193393908035,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
